                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4969,                 3.8378,                 1.8119,                0.19937,                0.24011,                0.12827,                0.06058,                 1.8244,                 3.7039,                 2.2291,             0.00022173,             0.00022173,             0.00022173
                      2,                 1.5409,                 2.9974,                 1.7943,                0.26163,                 0.2724,                0.21582,                0.09592,                 1.9291,                 2.6549,                 2.2543,             0.00043527,             0.00043527,             0.00043527
                      3,                 1.5293,                 2.6492,                 1.7695,                0.29133,                0.40388,                0.31725,                0.14736,                 1.7591,                 2.4002,                 2.1398,             0.00064001,             0.00064001,             0.00064001
                      4,                 1.5171,                 2.4201,                 1.7576,                0.37118,                0.38811,                0.34426,                 0.1676,                 1.7387,                 2.3187,                 2.1321,             0.00062738,             0.00062738,             0.00062738
                      5,                 1.4988,                 2.2461,                 1.7229,                0.46319,                0.42738,                0.40801,                 0.1968,                 1.7545,                  2.014,                 2.0532,             0.00061417,             0.00061417,             0.00061417
                      6,                 1.4643,                 2.1087,                 1.6875,                0.49643,                 0.5107,                 0.4796,                0.24246,                 1.7463,                 1.8619,                 2.0217,             0.00060097,             0.00060097,             0.00060097
                      7,                 1.4568,                 2.0072,                 1.6786,                0.50316,                0.46186,                0.46172,                0.23863,                 1.7216,                 1.9028,                 2.0217,             0.00058776,             0.00058776,             0.00058776
                      8,                 1.4277,                 1.9581,                 1.6648,                 0.6098,                0.49764,                0.52697,                0.27791,                 1.6491,                 1.7348,                 1.9664,             0.00057455,             0.00057455,             0.00057455
                      9,                 1.4198,                 1.8764,                 1.6448,                0.57052,                0.52169,                0.53499,                0.27364,                 1.7399,                 1.7014,                 2.0155,             0.00056135,             0.00056135,             0.00056135
                     10,                 1.3884,                 1.8249,                 1.6241,                0.58318,                0.53849,                0.54494,                0.29893,                 1.6209,                 1.6988,                 1.9412,             0.00054814,             0.00054814,             0.00054814
                     11,                 1.3754,                 1.7651,                  1.612,                0.58829,                0.53625,                0.56445,                 0.3081,                 1.6455,                 1.6092,                 1.9691,             0.00053493,             0.00053493,             0.00053493
                     12,                 1.3668,                 1.7131,                 1.6019,                0.60198,                0.54003,                 0.5796,                 0.3114,                 1.6272,                 1.5443,                 1.9411,             0.00052173,             0.00052173,             0.00052173
                     13,                 1.3419,                  1.651,                 1.5809,                0.63029,                0.54438,                0.58299,                0.31997,                 1.5999,                 1.6363,                 1.9343,             0.00050852,             0.00050852,             0.00050852
                     14,                 1.3373,                 1.6591,                  1.582,                0.65859,                0.51534,                0.58752,                0.31679,                 1.6333,                 1.5649,                 1.9255,             0.00049531,             0.00049531,             0.00049531
                     15,                 1.3376,                 1.6132,                 1.5701,                0.62224,                0.59452,                0.62452,                0.34805,                 1.5948,                 1.5077,                 1.9122,             0.00048211,             0.00048211,             0.00048211
                     16,                 1.3117,                 1.5862,                 1.5626,                0.65405,                0.59207,                0.63655,                 0.3598,                 1.5596,                 1.4312,                 1.8588,              0.0004689,              0.0004689,              0.0004689
                     17,                 1.2779,                 1.5234,                 1.5287,                0.70879,                  0.621,                0.67536,                0.39732,                 1.5211,                 1.3799,                 1.8339,             0.00045569,             0.00045569,             0.00045569
                     18,                 1.2877,                 1.5124,                 1.5292,                0.70219,                0.59642,                 0.6686,                0.39264,                 1.5046,                 1.3713,                 1.8041,             0.00044249,             0.00044249,             0.00044249
                     19,                 1.2695,                 1.4832,                 1.5225,                 0.7099,                0.62547,                0.68012,                0.39839,                 1.4938,                 1.3248,                 1.8035,             0.00042928,             0.00042928,             0.00042928
                     20,                 1.2535,                 1.4446,                 1.5051,                0.73307,                0.62893,                0.68467,                 0.4069,                 1.4981,                  1.316,                  1.804,             0.00041607,             0.00041607,             0.00041607
                     21,                 1.2422,                 1.4389,                 1.5015,                0.75959,                 0.6216,                0.69526,                  0.406,                 1.4917,                 1.3014,                 1.8057,             0.00040287,             0.00040287,             0.00040287
                     22,                 1.2298,                 1.4188,                 1.4944,                0.70781,                0.63527,                 0.6923,                0.41312,                 1.4664,                 1.3009,                 1.7822,             0.00038966,             0.00038966,             0.00038966
                     23,                  1.223,                 1.3745,                 1.4896,                 0.7289,                0.65038,                0.70093,                0.42603,                 1.4497,                 1.2865,                 1.7671,             0.00037645,             0.00037645,             0.00037645
                     24,                 1.2098,                 1.3621,                 1.4827,                0.71502,                0.67591,                0.71536,                0.42746,                 1.4633,                 1.2815,                 1.7717,             0.00036325,             0.00036325,             0.00036325
                     25,                 1.1965,                 1.3354,                 1.4725,                0.76535,                0.64207,                0.70941,                0.43097,                 1.4496,                 1.2107,                 1.7853,             0.00035004,             0.00035004,             0.00035004
                     26,                  1.175,                 1.2974,                 1.4493,                0.70565,                0.68965,                0.72791,                0.43965,                 1.4292,                 1.2256,                 1.7479,             0.00033683,             0.00033683,             0.00033683
                     27,                 1.1707,                 1.2794,                 1.4454,                0.76469,                0.65506,                0.72442,                0.44485,                 1.4127,                 1.2326,                 1.7182,             0.00032363,             0.00032363,             0.00032363
                     28,                 1.1485,                 1.2672,                 1.4314,                0.73966,                0.67009,                  0.727,                0.46096,                 1.3827,                 1.1893,                 1.7175,             0.00031042,             0.00031042,             0.00031042
                     29,                 1.1437,                 1.2573,                 1.4293,                 0.7829,                0.66692,                0.74201,                0.46912,                 1.3813,                 1.1684,                 1.7098,             0.00029722,             0.00029722,             0.00029722
                     30,                 1.1366,                 1.2383,                 1.4202,                0.76713,                0.67515,                0.74047,                0.46706,                 1.3717,                 1.1257,                 1.7063,             0.00028401,             0.00028401,             0.00028401
                     31,                 1.1137,                 1.2175,                 1.4083,                0.79284,                0.68589,                0.75544,                0.48287,                  1.337,                 1.1059,                 1.6731,              0.0002708,              0.0002708,              0.0002708
                     32,                 1.1029,                 1.1925,                 1.4041,                0.76981,                0.70574,                0.75969,                0.49637,                  1.341,                 1.1198,                 1.6603,              0.0002576,              0.0002576,              0.0002576
                     33,                 1.0948,                 1.1713,                 1.3919,                0.78536,                0.69757,                0.76239,                0.49226,                 1.3417,                 1.0929,                 1.6569,             0.00024439,             0.00024439,             0.00024439
                     34,                 1.0962,                  1.167,                  1.393,                0.81158,                 0.7013,                0.77388,                0.50371,                 1.3246,                 1.0674,                 1.6514,             0.00023118,             0.00023118,             0.00023118
                     35,                   1.08,                 1.1466,                 1.3784,                0.80167,                0.68977,                0.77334,                0.50849,                 1.3134,                 1.0777,                  1.636,             0.00021798,             0.00021798,             0.00021798
                     36,                 1.0653,                 1.1113,                 1.3724,                0.80074,                0.70377,                0.77294,                0.51096,                 1.3086,                 1.0804,                 1.6372,             0.00020477,             0.00020477,             0.00020477
                     37,                 1.0636,                 1.1159,                 1.3672,                0.79611,                0.69836,                0.77387,                0.51582,                 1.2879,                 1.0643,                  1.617,             0.00019156,             0.00019156,             0.00019156
                     38,                 1.0488,                 1.0906,                 1.3545,                0.83284,                0.69619,                0.77991,                0.52344,                 1.2902,                 1.0314,                  1.623,             0.00017836,             0.00017836,             0.00017836
                     39,                 1.0436,                 1.0783,                 1.3468,                0.84954,                0.67169,                0.77546,                  0.513,                 1.3077,                 1.0339,                  1.618,             0.00016515,             0.00016515,             0.00016515
                     40,                 1.0378,                 1.0862,                 1.3543,                0.84275,                0.68782,                0.78353,                0.53125,                 1.2794,                 1.0133,                 1.6148,             0.00015194,             0.00015194,             0.00015194
                     41,                 1.0182,                0.87868,                 1.4033,                0.82076,                0.71059,                0.78097,                0.52859,                 1.2411,                 1.0263,                 1.5761,             0.00013874,             0.00013874,             0.00013874
                     42,                0.98378,                 0.8173,                 1.3783,                0.84543,                0.70644,                0.79077,                0.53088,                 1.2532,                0.99717,                 1.5791,             0.00012553,             0.00012553,             0.00012553
                     43,                0.96882,                0.81006,                 1.3604,                 0.8028,                0.70935,                0.79028,                0.54247,                 1.2357,                0.99431,                 1.5712,             0.00011232,             0.00011232,             0.00011232
                     44,                0.94486,                0.77915,                 1.3463,                0.83005,                0.70665,                0.79602,                0.54731,                  1.219,                0.97207,                 1.5755,             9.9116e-05,             9.9116e-05,             9.9116e-05
                     45,                0.93253,                0.76465,                 1.3383,                0.79169,                0.74049,                0.79843,                0.54998,                  1.212,                0.97098,                 1.5597,              8.591e-05,              8.591e-05,              8.591e-05
                     46,                0.91136,                0.74378,                 1.3181,                0.80442,                0.73193,                0.80045,                0.55553,                 1.2067,                0.95557,                 1.5613,             7.2703e-05,             7.2703e-05,             7.2703e-05
                     47,                0.90165,                0.72387,                 1.3093,                0.78818,                0.74391,                0.80596,                0.56132,                 1.1972,                0.94779,                 1.5538,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     48,                0.88637,                0.71435,                 1.2992,                0.81632,                0.71706,                0.79779,                0.55989,                 1.1903,                0.94377,                  1.543,              4.629e-05,              4.629e-05,              4.629e-05
                     49,                0.87379,                0.70588,                 1.2895,                0.78814,                0.74588,                0.80128,                0.56329,                 1.1881,                0.93957,                 1.5424,             3.3083e-05,             3.3083e-05,             3.3083e-05
                     50,                0.86703,                0.70598,                 1.2827,                0.78625,                0.75146,                0.80446,                0.56782,                 1.1808,                0.93832,                 1.5376,             1.9877e-05,             1.9877e-05,             1.9877e-05
