                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0521,                 3.5426,                 1.4325,                0.46208,                0.10005,                0.17948,                0.08293,                 1.5398,                 3.1363,                      2,             0.00027451,             0.00027451,             0.00027451
                      2,                 1.1131,                 2.7583,                 1.4345,                0.32647,                0.31332,                0.25782,                0.13995,                 1.6009,                 2.6962,                 2.0648,             0.00053396,             0.00053396,             0.00053396
                      3,                 1.1559,                 2.4723,                 1.4798,                   0.35,                0.32909,                0.25541,                0.11428,                  1.659,                 2.7259,                 2.1489,             0.00077507,             0.00077507,             0.00077507
                      4,                 1.1352,                 2.2471,                 1.4442,                0.37883,                0.43447,                0.37806,                0.19354,                 1.5921,                 2.4868,                 2.0942,             0.00075053,             0.00075053,             0.00075053
                      5,                 1.0919,                 2.0453,                 1.4208,                0.62476,                0.37434,                0.47791,                0.24855,                 1.6332,                  2.107,                 2.1002,             0.00072304,             0.00072304,             0.00072304
                      6,                 1.0275,                 1.9116,                 1.3748,                0.48549,                0.48802,                0.43304,                0.23421,                 1.4187,                 2.2174,                 1.8731,             0.00069556,             0.00069556,             0.00069556
                      7,                 1.0216,                 1.7769,                 1.3522,                0.51013,                0.50551,                0.47721,                0.27109,                 1.4895,                 2.1531,                 1.9152,             0.00066807,             0.00066807,             0.00066807
                      8,                0.98163,                 1.6519,                 1.3177,                0.56131,                0.46427,                0.54077,                 0.3203,                 1.3683,                 1.9883,                 1.8423,             0.00064058,             0.00064058,             0.00064058
                      9,                 0.9595,                 1.5755,                 1.3053,                0.54148,                0.41272,                0.47795,                0.28074,                 1.3519,                 2.1681,                 1.7977,             0.00061309,             0.00061309,             0.00061309
                     10,                0.91963,                 1.5055,                 1.2725,                  0.595,                 0.5305,                0.55996,                 0.3338,                 1.3631,                 1.7885,                 1.8213,              0.0005856,              0.0005856,              0.0005856
                     11,                 0.9033,                 1.4122,                 1.2644,                0.65744,                0.53945,                0.60522,                 0.3648,                 1.2597,                 1.8975,                   1.76,             0.00055811,             0.00055811,             0.00055811
                     12,                0.85547,                 1.3452,                 1.2346,                0.75134,                0.54309,                0.62947,                0.41976,                 1.2487,                 1.7273,                  1.705,             0.00053062,             0.00053062,             0.00053062
