                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4057,                 3.7756,                 1.7787,                0.19447,                 0.2038,                0.09264,                0.04218,                 1.7711,                 3.2296,                 2.2419,             0.00023695,             0.00023695,             0.00023695
                      2,                 1.4571,                 3.1001,                 1.7924,                0.34722,                0.32212,                0.24545,                0.11933,                 1.8027,                 2.8541,                 2.2679,             0.00046555,             0.00046555,             0.00046555
                      3,                 1.4505,                 2.7393,                 1.7791,                0.31281,                0.33204,                0.30225,                0.14232,                 1.8762,                 2.6527,                   2.27,             0.00068472,             0.00068472,             0.00068472
                      4,                 1.4208,                 2.4789,                 1.7437,                0.42681,                0.35867,                0.37397,                0.19614,                 1.6937,                  2.376,                 2.1381,             0.00067159,             0.00067159,             0.00067159
                      5,                 1.3912,                 2.2783,                 1.7069,                0.52777,                0.37308,                0.38648,                0.19274,                 1.7073,                  2.201,                 2.1265,             0.00065745,             0.00065745,             0.00065745
                      6,                 1.3652,                 2.1452,                 1.6816,                0.38519,                0.45008,                0.40622,                0.21864,                 1.6634,                 2.2928,                  2.102,             0.00064331,             0.00064331,             0.00064331
                      7,                 1.3302,                 2.0205,                 1.6586,                0.37772,                0.50071,                0.41819,                0.20632,                 1.7974,                 2.0692,                 2.1687,             0.00062918,             0.00062918,             0.00062918
                      8,                 1.3311,                 1.9298,                 1.6476,                0.46501,                0.46926,                0.45357,                0.23738,                 1.8201,                  2.013,                 2.1661,             0.00061504,             0.00061504,             0.00061504
                      9,                 1.3063,                 1.8403,                 1.6225,                0.51823,                0.56504,                0.53493,                0.28798,                 1.6801,                 1.8245,                 2.0401,              0.0006009,              0.0006009,              0.0006009
                     10,                 1.2684,                 1.7525,                 1.5894,                0.48921,                0.57569,                0.52811,                0.27589,                 1.6517,                 1.8045,                 2.0458,             0.00058677,             0.00058677,             0.00058677
                     11,                  1.235,                 1.6615,                 1.5652,                0.60731,                0.54487,                0.60139,                0.34164,                   1.62,                 1.7378,                  1.999,             0.00057263,             0.00057263,             0.00057263
                     12,                  1.222,                 1.6097,                 1.5541,                 0.6611,                0.57333,                0.60704,                0.33635,                 1.6486,                 1.6135,                 2.0109,             0.00055849,             0.00055849,             0.00055849
                     13,                 1.2055,                 1.5833,                 1.5367,                0.64719,                0.52321,                0.59339,                 0.3359,                 1.6278,                 1.6084,                 2.0357,             0.00054435,             0.00054435,             0.00054435
                     14,                  1.168,                 1.4987,                 1.5067,                0.60671,                0.61598,                 0.6202,                0.33036,                 1.6122,                 1.6138,                 2.0017,             0.00053022,             0.00053022,             0.00053022
                     15,                 1.1419,                 1.4605,                  1.487,                0.62638,                0.60945,                0.63635,                0.34914,                 1.5819,                 1.6055,                 1.9867,             0.00051608,             0.00051608,             0.00051608
                     16,                 1.1397,                 1.4055,                 1.4818,                0.51918,                0.65872,                0.60739,                 0.3582,                 1.5797,                 1.4508,                 1.9553,             0.00050194,             0.00050194,             0.00050194
                     17,                 1.1113,                 1.4031,                 1.4623,                0.55982,                0.58307,                0.61226,                0.35043,                 1.6031,                 1.6094,                  1.943,              0.0004878,              0.0004878,              0.0004878
                     18,                 1.0816,                 1.3331,                 1.4359,                0.67109,                0.55258,                0.62948,                0.36999,                 1.5841,                 1.4539,                 1.9786,             0.00047367,             0.00047367,             0.00047367
                     19,                 1.0788,                 1.3102,                 1.4318,                0.55351,                0.65389,                0.62844,                0.36809,                 1.6527,                 1.5126,                 2.0109,             0.00045953,             0.00045953,             0.00045953
                     20,                 1.0592,                 1.2615,                 1.4165,                0.66215,                0.57204,                0.59741,                0.35846,                  1.615,                 1.5211,                 1.9917,             0.00044539,             0.00044539,             0.00044539
                     21,                 1.0322,                 1.2261,                 1.3975,                0.63093,                0.60026,                0.65325,                 0.3817,                  1.592,                 1.4788,                 1.9708,             0.00043126,             0.00043126,             0.00043126
                     22,                 1.0233,                  1.196,                 1.3901,                0.62203,                0.61441,                0.62707,                0.37934,                  1.596,                 1.4697,                 2.0541,             0.00041712,             0.00041712,             0.00041712
                     23,                 1.0002,                 1.1665,                 1.3669,                0.59657,                0.61102,                0.63324,                0.36369,                 1.5957,                 1.4668,                 2.0054,             0.00040298,             0.00040298,             0.00040298
                     24,                0.98113,                 1.1258,                 1.3487,                0.64822,                0.62701,                0.66128,                 0.3748,                  1.573,                 1.3919,                 1.9738,             0.00038884,             0.00038884,             0.00038884
                     25,                0.97185,                 1.1126,                 1.3512,                0.65906,                0.57993,                0.64222,                0.39571,                 1.5606,                 1.3954,                 1.9885,             0.00037471,             0.00037471,             0.00037471
                     26,                0.94764,                 1.0838,                 1.3409,                0.67651,                0.62212,                0.63884,                0.38309,                 1.5632,                 1.4699,                 2.0085,             0.00036057,             0.00036057,             0.00036057
                     27,                 0.9353,                 1.0666,                 1.3164,                0.74576,                0.58461,                0.66739,                0.41693,                 1.5365,                 1.3261,                 1.9843,             0.00034643,             0.00034643,             0.00034643
                     28,                0.92139,                 1.0328,                 1.3117,                0.74916,                 0.6044,                0.70322,                0.42063,                 1.5199,                 1.2929,                 2.0124,              0.0003323,              0.0003323,              0.0003323
                     29,                0.89284,                0.99985,                 1.2896,                0.71849,                 0.5639,                0.66287,                0.41474,                 1.5346,                 1.3672,                 1.9766,             0.00031816,             0.00031816,             0.00031816
                     30,                0.89179,                0.99936,                 1.2982,                0.68233,                0.63746,                 0.6828,                 0.4177,                 1.5437,                 1.3612,                 1.9914,             0.00030402,             0.00030402,             0.00030402
                     31,                0.87587,                0.96528,                 1.2752,                0.70219,                0.60061,                0.66436,                0.42089,                 1.5025,                 1.3972,                 1.9729,             0.00028988,             0.00028988,             0.00028988
                     32,                0.85907,                0.93942,                 1.2681,                0.62956,                0.65045,                0.66793,                0.41023,                 1.5486,                 1.3604,                 2.0322,             0.00027575,             0.00027575,             0.00027575
                     33,                 0.8574,                0.92677,                 1.2647,                0.65417,                0.69677,                0.70656,                0.43606,                 1.4552,                 1.3515,                 1.8946,             0.00026161,             0.00026161,             0.00026161
